ç
Semáforo, Latitude, Longitude
R. Torres Homem x R. Visc de Abaeté,"-22.91357316","-43.24430326"
R. Torres Homem x R. Duque de Caxias,"-22.91327393","-43.24269561"
R. Mal. Zenobio da Costa x R. Justiniano da Rocha,"-22.91269306","-43.24117329"
R. Mal. Zenobio da Costa x R. Jorge Rudge,"-22.91201203","-43.23994928"
R. Oito de Dezembro x R. Jorge Rudge,"-22.91009534","-43.24095804"
R. Barão de Cotegipe x R. Mendes Tavares,"-22.91814029","-43.25458844"
R. Barão do Bom Retiro x Av. Engen Richard,"-22.92035588","-43.2598542"
R. Teodoro da Silva x R. Luiz Guimarães,"-22.92010141","-43.25846029"
R. Teodoro da Silva x R. Viana Drumond,"-22.919513","-43.25548941"
R. Teodoro da Silva x R. Mendes Tavares,"-22.91913237","-43.25381437"
R. Teodoro da Silva x R. Barão de São Francisco,"-22.91860817","-43.25107282"
R. Teodoro da Silva x R. Luiz Barbosa,"-22.91831556","-43.25007361"
R. Teodoro da Silva x R. Silva Pinto,"-22.91786939","-43.24651734"
R. Teodoro da Silva x R. Souza Franco,"-22.91757887","-43.24513667"
R. Teodoro da Silva x R. Visc de Abaeté,"-22.91731426","-43.24374469"
R. Teodoro da Silva x R. Gonzaga Bastos,"-22.91698862","-43.24211793"
R. Teodoro da Silva x R. Pereira Nunes,"-22.916767","-43.24086685"
Av. Engen Richard x R. Gurupi,"-22.92091982","-43.26086674"
R. São Francisco Xavier x Av. Pres. Castelo Branco,"-22.90888064","-43.23809227"
R. São Francisco Xavier x R. Oito de Dezembro,"-22.90888977","-43.23844129"
R. São Francisco Xavier x R. Luis de Matos,"-22.91101065","-43.23832923"
R. São Francisco Xavier x R. Waldir Amaral,"-22.91335699","-43.23540562"
Blv Vinte e Oito de Setembro x R. Felipe Camarão,"-22.91372739","-43.23558994"
Blv Vinte e Oito de Setembro x R. Jorge Rudge,"-22.91397247","-43.23732482"
Blv Vinte e Oito de Setembro x R. Pereira Nunes,"-22.91484495","-43.24085226"
R. Barão de São Francisco x R. Barão de Cotegipe,"-22.9174047","-43.25128203"
R. Barão de São Francisco x R. Torres Homem,"-22.9149405","-43.25161924"
R. Luiz Barbosa x R. Torres Homem,"-22.91484285","-43.25055826"
R. São Francisco Xavier x Trav. Ped.,"-22.91253582","-43.23661898"
R. Barão do Bom Retiro x R. José do Patrocínio,"-22.91925416","-43.26186544"
R. Torres Homem x R. Silva Pinto,"-22.91425629","-43.24778812"
R. Barão de São Francisco x Via de Ligação (Sem Código),"-22.92013502","-43.25056731"
R. José Vicente x R. nº S. de Lourdes,"-22.92175071","-43.25738934"
Av. Engen Richard x R. Mearim,"-22.92121109","-43.26230692"
R. Maxwell x R. Amaral,"-22.92119483","-43.24510038"
R. Maxwell x R. Agostinho Menezes,"-22.91953881","-43.24353741"
R. Maxwell x R. Agostinho Menezes,"-22.92024549","-43.24364101"
Av. Engen Octacilio Negrão de Lima x R. Gonzaga Bastos,"-22.91785598","-43.24143397"
R. Maxwell x R. Gonzaga Bastos,"-22.91823375","-43.23949079"
R. Maxwell x R. Pereira Nunes,"-22.91807106","-43.23988876"
R. Pereira Nunes x R. Dona Maria,"-22.91979061","-43.23850131"
R. Ribeiro Guimarães x R. Dona Maria,"-22.91912667","-43.23744024"
R. Gonzaga Bastos x R. Baltazar Lisboa,"-22.92271631","-43.23839377"
R. Pereira Nunes x R. Baltazar Lisboa,"-22.92209697","-43.23711913"
R. Barão do Bom Retiro x R. Grajaú,"-22.92273835","-43.25857177"
R. Uberaba x R. Sa Viana,"-22.92393906","-43.25857571"
R. Barão de Mesquita x R. Duqsa de Bragança,"-22.92366019","-43.25594581"
R. Uberaba x R. Castro Barbosa,"-22.9247801","-43.25666598"
R. Maxwell x R. Gomes Braga,"-22.92383538","-43.25080041"
R. Maxwell x R. Barão de São Francisco,"-22.92330614","-43.24994202"
R. Maxwell x Via de Ligação (Sem Código),"-22.92280055","-43.24871507"
R. Maxwell x Via de Ligação (Sem Código),"-22.92248011","-43.24839681"
R. Maxwell x R. Uruguai,"-22.92244985","-43.24746164"
R. Uberaba x R. Ferreira Pontes,"-22.925914","-43.25427311"
R. Barão de Mesquita x R. Leopoldo,"-22.92524396","-43.25040814"
R. Gastão Penalva x R. Leopoldo,"-22.92707012","-43.25186851"
Av. Maracanã x Trav. Ped.,"-22.92182791","-43.23611867"
R. Barão de Mesquita x R. Uruguai,"-22.92582172","-43.24546994"
R. Uruguai x R. Maria Amália,"-22.92874248","-43.24368677"
R. Barão de Mesquita x R. Pontes Correa,"-22.92515628","-43.24389766"
R. Barão de Mesquita x R. Amaral,"-22.92453971","-43.2431826"
R. Barão de Mesquita x R. Araújo Lima,"-22.92430535","-43.24035865"
R. Barão de Mesquita x Trav. Ped.,"-22.92399497","-43.24154771"
Av. Maracanã x R. Barão de Mesquita,"-22.9240321","-43.23633769"
R. Barão de Mesquita x R. Gal Roca,"-22.92316013","-43.2347862"
R. Barão de Mesquita x R. Ernesto de Souza,"-22.92604124","-43.24871851"
R. Grajaú x R. Gurupi,"-22.92262319","-43.26009896"
R. Barão de Mesquita x R. Pinto de Figueiredo,"-22.92402816","-43.23687329"
R. Pinto de Figueiredo x Av. Maracanã,"-22.92445798","-43.23686843"
Av. Maracanã x Via de Ligação (Sem Código),"-22.92651448","-43.23820601"
R. Barão de Mesquita x R. Paula Brito,"-22.92422405","-43.25201754"
R. Barão de Mesquita x R. Ferreira Pontes,"-22.92444767","-43.25253043"
R. Barão de Mesquita x R. José Vicente,"-22.92359699","-43.25654897"
R. Gonzaga Bastos x R. Dona Maria,"-22.92048605","-43.23998147"
R. Maria Amália x R. Dona Delfina,"-22.92756977","-43.24177067"
R. Uruguai x R. Ladislau Neto,"-22.92294983","-43.24730314"
Av. Pres. Castelo Branco x R. Waldir Amaral,"-22.91020816","-43.23342808"
Av. Pres. Castelo Branco x Trav. Ped.,"-22.91080588","-43.22359803"
Av. Pres. Castelo Branco x R. Gal Canabarro,"-22.91071611","-43.22213304"
Av. Pres. Castelo Branco x R. Gal Canabarro,"-22.90997422","-43.22190631"
R. Senad Furtado x R. Pedro Guedes,"-22.91081191","-43.21994218"
R. Teixeira Soares x R. Para,"-22.91139864","-43.21746399"
R. do Matoso x R. Barão de Iguatemi,"-22.91244236","-43.21351184"
Av. Prof Manoel de Abreu x R. Prof Eurico Rabelo,"-22.91237061","-43.23386427"
Av. Prof Manoel de Abreu x R. Waldir Amaral,"-22.9125364","-43.23403987"
Av. Prof Manoel de Abreu x Via de Ligação (Sem Código),"-22.91198898","-43.23413769"
Av. Paula Sousa x R. Mata Machado,"-22.91309522","-43.22538656"
Av. Maracanã x R. Mata Machado,"-22.91264327","-43.22608771"
R. Morais e Silva x R. Ibituruna,"-22.91219811","-43.2217872"
R. São Francisco Xavier x Av. Prof Manoel de Abreu,"-22.9139071","-43.23392998"
R. São Francisco Xavier x R. Dona Zulmira,"-22.91430976","-43.23339673"
R. Prof Eurico Rabelo x Trav. Ped.,"-22.91381557","-43.23120251"
R. Prof Gabizo x R. Gal Canabarro,"-22.91324199","-43.22508791"
R. Ibituruna x R. Comte Cordeiro de Faria,"-22.91349571","-43.21987404"
Av. Prof Manoel de Abreu x R. Felipe Camarão,"-22.91588338","-43.23583536"
R. São Francisco Xavier x R. Jaceguai,"-22.91564156","-43.23204054"
Av. Maracanã x R. Prof Eurico Rabelo,"-22.91496791","-43.22904132"
R. São Francisco Xavier x R. Visc de Itamarati,"-22.91593845","-43.23110243"
Av. Maracanã x R. São Francisco Xavier,"-22.91596636","-43.23092951"
R. Prof Gabizo x R. Morais e Silva,"-22.91491955","-43.22363106"
R. Felipe Camarão x R. Santa Luiza,"-22.91700396","-43.2346976"
R. São Francisco Xavier x R. Barão de Mesquita,"-22.91657531","-43.22863514"
R. São Francisco Xavier x R. Gal Canabarro,"-22.91634581","-43.22693788"
Av. Maracanã x R. Major Ávila,"-22.91923262","-43.2336942"
R. Barão de Mesquita x R. Deput Soares Filho,"-22.92006872","-43.23128189"
R. São Francisco Xavier x R. Almte Cochrane,"-22.91792203","-43.22433488"
R. Mariz e Barros x R. Prof Gabizo,"-22.91619829","-43.22213162"
R. Mariz e Barros x R. Afonso Pena,"-22.91469608","-43.21994847"
R. Mariz e Barros x R. Campos Sales,"-22.91400282","-43.21883778"
R. Mariz e Barros x R. Senad Furtado,"-22.91294242","-43.2172339"
R. Afonso Pena x R. Gonçalves Crespo,"-22.91697261","-43.21968209"
R. Campos Sales x R. Gonçalves Crespo,"-22.91651974","-43.21857107"
R. Mariz e Barros x R. Felisberto de Menezes,"-22.91277646","-43.21589481"
R. São Francisco Xavier x R. Pereira de Siqueira,"-22.91884001","-43.22361312"
Av. Heitor Beltrão x R. Prof Gabizo,"-22.91820634","-43.22031626"
Av. Maracanã x R. Deput Soares Filho,"-22.91832159","-43.23214724"
R. Dona Zulmira x R. Felipe Camarão,"-22.91636157","-43.23500496"
R. São Francisco Xavier x Trav. Ped.,"-22.91649358","-43.22602954"
R. Gal Canabarro x Trav. Ped.,"-22.91268284","-43.22454485"
R. Marq de Valença x R. Pereira de Siqueira,"-22.91992581","-43.22587288"
R. Marq de Valença x R. Almte Cochrane,"-22.91871722","-43.2253615"
Av. Heitor Beltrão x R. Pareto,"-22.92244968","-43.2301329"
R. Almte Cochrane x R. Pareto,"-22.92157335","-43.22951549"
R. Carlos de Vasconcelos x R. Moura Brito,"-22.92635255","-43.22818838"
R. Conde de Bonfim x Av. Heitor Beltrão,"-22.92277901","-43.23064545"
R. Conde de Bonfim x R. Pareto,"-22.92323573","-43.23062223"
Av. Heitor Beltrão x R. Visc de Figueiredo,"-22.92102945","-43.22675256"
Av. Heitor Beltrão x R. Consel Zenha,"-22.92152641","-43.22791002"
Av. Heitor Beltrão x R. Marq de Valença,"-22.92077011","-43.22560902"
R. São Francisco Xavier x R. Dr. Satamini,"-22.92042579","-43.22213665"
Av. Heitor Beltrão x R. São Francisco Xavier,"-22.9202035","-43.22257829"
R. Dr. Satamini x R. Prof Gabizo,"-22.91881613","-43.21899561"
R. Dr. Satamini x R. Campos Sales,"-22.91822914","-43.21735896"
R. Dr. Satamini x R. Afonso Pena,"-22.91845218","-43.21817771"
R. Conde de Bonfim x R. Carmela Dutra,"-22.92459427","-43.22704333"
R. Conde de Bonfim x R. dos Araujos,"-22.9253613","-43.22561044"
R. Conde de Bonfim x R. Felix da Cunha,"-22.92373613","-43.22306511"
R. Conde de Bonfim x R. São Francisco Xavier,"-22.92244792","-43.22183691"
R. Delgado de Carvalho x Trav. Ped.,"-22.92193805","-43.22094642"
R. Haddock Lobo x R. Prof Gabizo,"-22.92119164","-43.21878841"
R. Haddock Lobo x R. Engen Adel,"-22.92057934","-43.21692822"
R. Haddock Lobo x Trav. Ped.,"-22.91972489","-43.21495822"
R. Barão de Itapagipe x R. Delgado de Carvalho,"-22.92437903","-43.21962241"
R. Barão de Itapagipe x R. Araújo Pena,"-22.9238254","-43.21879411"
R. Barão de Itapagipe x R. do Bispo,"-22.92194953","-43.21461121"
R.Barão de Itapagipe x Trav. Ped.,"-22.92215288","-43.21573254"
R.Barão de Itapagipe x Trav. Ped.,"-22.92302543","-43.21717791"
R. Dr. Satamini x R. do Matoso,"-22.91623115","-43.21225606"
R. Haddock Lobo x R. do Matoso,"-22.91798565","-43.21189404"
R. Barão de Itapagipe x Trav. Ped.,"-22.92110682","-43.21335258"
R. Barão de Itapagipe x Trav. Ped.,"-22.92053416","-43.21253752"
R. Barão de Itapagipe x R. Japeri,"-22.91971467","-43.21140613"
R. Barão de Itapagipe x R. Batista das Neves,"-22.91880288","-43.21007358"
R. do Bispo x R. Sampaio Viana,"-22.92450325","-43.21192087"
R. do Bispo x Trav. Ped.,"-22.92514295","-43.21117211"
Av. Paulo de Frontin x R. Campos da Paz,"-22.92335685","-43.20953446"
Av. Paulo de Frontin x Trav. Ped.,"-22.92287146","-43.2098787"
R. Aristides Lobo x R. Campos da Paz,"-22.92343665","-43.20837926"
Av. Paulo de Frontin x R. do Bispo,"-22.9247314","-43.20976613"
R. Estrela x R. Santa Alexandrina,"-22.92473492","-43.20963101"
R. Estrela x R. Barão de Petrópolis,"-22.92525259","-43.20578347"
R. Itapiru x Trav. Ped.,"-22.92147319","-43.19712019"
R. Itapiru x R. Navarro,"-22.92296642","-43.19755655"
R. Itapiru x Trav. Ped.,"-22.9253815","-43.20154491"
R. João Paulo I x R. Barão de Uba,"-22.91587483","-43.21120505"
R. Barão de Uba x R. Santa Amélia,"-22.91509615","-43.21112207"
R. Conde de Bonfim x Trav. Ped.,"-22.92394174","-43.22313015"
R. Dr. Satamini x Trav. Ped.,"-22.91728509","-43.21490985"
R. Barão de Itapagipe x Trav. Ped.,"-22.92472797","-43.22050058"
R. Conde de Bonfim x R. Visc de Figueiredo,"-22.92437718","-43.22751112"
R. Conde de Bonfim x Trav. Ped.,"-22.9236488","-43.22788906"
R. Aristides Lobo x Colégio Guanabarense,"-22.91811506","-43.20868503"
R. do Bispo x Trav. Ped.,"-22.92325635","-43.21328058"
R. Campos da Paz x R. Caetano Martins,"-22.92392146","-43.20475635"
R.Alm.Cochrane x E/F ao nº 100/103,"-22.91992807","-43.22638325"
R.Alm.Cochrane x E/F Wall Mart,"-22.92067481","-43.22748958"
R. Santo Afonso x R. Pinto de Figueiredo,"-22.92508185","-43.23570963"
R. Santo Afonso x R. Gal Roca,"-22.92411282","-43.23470992"
R. Barão de Mesquita x R. Major Ávila,"-22.92264045","-43.23315189"
R. Santo Afonso x Trav. Ped.,"-22.92323766","-43.23329011"
R. Conde de Bonfim x R. Henri Ford,"-22.9278493","-43.23561944"
R. Conde de Bonfim x R. Abelardo Chacrinha Barbosa,"-22.92631055","-43.23518652"
R. Conde de Bonfim x R. Padre Elias Gorayeb,"-22.92544671","-43.2344956"
R. Conde de Bonfim x R. Gal Roca,"-22.92402271","-43.23263071"
R. Des Izidro x R. Gal Roca,"-22.92523432","-43.23250456"
R. Conde de Bonfim x R. Major Avila,"-22.92377897","-43.23229325"
R. Bom Pastor x Trav. Ped.,"-22.92788719","-43.22982151"
Av. Maracana x R. José Higino,"-22.92828818","-43.23975457"
R. Conde de Bonfim x R. José Higino,"-22.92999021","-43.23731225"
R. Andrade Neves x Trav. Ped.,"-22.93063637","-43.23689458"
R. José Higino x Trav. Ped.,"-22.93105748","-43.23520009"
Av. Maracana x R. Dona Delfina,"-22.92931748","-43.2408474"
R. Conde de Bonfim x R. Dona Delfina,"-22.931853","-43.23963546"
R. Andrade Neves x R. Itacuruca,"-22.9332392","-43.23910447"
Av. Maracana x R. Uruguai,"-22.93060913","-43.24198759"
R. Conde de Bonfim x R. Uruguai,"-22.93242892","-43.24110732"
R. Uruguai x R. Andrade Neves,"-22.93379785","-43.24052922"
R. Conde de Bonfim x R. Dr. Otavio Kelly,"-22.93308942","-43.24184099"
Av. Maracana x R. Dr. Otavio Kelly,"-22.93200128","-43.24268312"
Av. Maracana x R. Pinto Guedes,"-22.93225877","-43.24289493"
R. Conde de Bonfim x R. Alves de Brito,"-22.93412911","-43.24269192"
R. Conde de Bonfim x R. Mal. Trompowski,"-22.93647788","-43.24520431"
R. Conde de Bonfim x R. Medeiros Passaro,"-22.93756544","-43.24637015"
R. Conde de Bonfim x Pç. Prof Pinheiro Guimaraes,"-22.93932253","-43.24837091"
R. Conde de Bonfim x Trav. Ped.,"-22.94059818","-43.25053571"
R. Conde de Bonfim x R. Ary Kerner,"-22.94101249","-43.25160231"
R. Conde de Bonfim x Trav. Ped.,"-22.94554383","-43.25467335"
Av. Edison Passos x R. São Miguel,"-22.94721644","-43.25690864"
R. Conde de Bonfim x E/f ao nº 1181,"-22.94237849","-43.2532584"
R. Bom Pastor x Trav. Ped.,"-22.92967102","-43.23212536"
R. Conde de Bonfim x R. Santa Carolina,"-22.94397893","-43.25409517"
R. Conde de Bonfim x R. Leite de Abreu,"-22.93508749","-43.24362349"
R. Des Izidro x R. Barão de Pirassinunga,"-22.92684607","-43.23309883"
R. Boa Vista x R. Ferreira de Almeida,"-22.96399592","-43.27667358"
Etr. das Furnas x Etr. Itapicuru,"-22.97368867","-43.28548422"
Etr. das Furnas x Trav. Ped.,"-22.97851799","-43.29162438"
Etr. das Furnas x Trav. Ped.,"-22.9815768","-43.2949582"
R. São Miguel x R. São Rafael,"-22.94471864","-43.25569485"
R. São Miguel x R. Mal. Trompowski,"-22.93517777","-43.24654559"
R. Gal Espirito Santo Cardoso x R. Garibaldi,"-22.93181621","-43.24652664"
Av. Edison Passos x Trav. Ped.,"-22.96123979","-43.27336726"
Etr. das Furnas x Trav. Ped.,"-22.9656361","-43.27744799"
Etr. das Furnas x Trav. Ped.,"-22.97250632","-43.28420422"
Av. Atlantica x R. Anchieta,"-22.96287","-43.169176"
Av. Atlantica x R. Anchieta,"-22.96287","-43.169176"
Av. Atlantica x Av. Princesa Isabel,"-22.964342","-43.172728"
Av. Atlantica x Av. Prado Junior,"-22.964737","-43.173706"
Av. Atlantica x R. Rodolfo Dantas,"-22.966674","-43.177743"
Av. Atlantica x R. Republica do Peru,"-22.968187","-43.180321"
Av. Atlantica x R. Republica do Peru,"-22.968187","-43.180321"
Av. Atlantica x R. Siqueira Campos,"-22.97001","-43.18296"
Av. Atlantica x R. Figueiredo de Magalhaes,"-22.971244","-43.184271"
Av. Atlantica x R. Figueiredo de Magalhaes,"-22.971244","-43.184271"
Av. nº S. de Copacabana x R. Figueiredo de Magalhaes,"-22.969867","-43.185521"
Av. nº S. de Copacabana x R. Siqueira Campos,"-22.96861","-43.184215"
Av. nº S. de Copacabana x R. Hilario de Gouveia,"-22.968037","-43.183555"
Av. nº S. de Copacabana x R. Paula Freitas,"-22.967492","-43.182485"
Av. nº S. de Copacabana x R. Republica do Peru,"-22.966947","-43.181548"
Av. nº S. de Copacabana x R. Rodolfo Dantas,"-22.965677","-43.178285"
Av. nº S. de Copacabana x R. Duvivier,"-22.965264","-43.177398"
Av. nº S. de Copacabana x R. Belfort Roxo,"-22.964339","-43.17573"
Av. nº S. de Copacabana x Av. Prado Junior,"-22.963809","-43.174376"
Av. nº S. de Copacabana x Av. Princesa Isabel,"-22.963697","-43.174073"
R. Minist Viveiros de Castro x Av. Princesa Isabel,"-22.962624","-43.174193"
R. Minist Viveiros de Castro x Av. Princesa Isabel,"-22.962627","-43.1742"
R. Minist Viveiros de Castro x Av. Prado Junior,"-22.963005","-43.175003"
R. Minist Viveiros de Castro x R. Belfort Roxo,"-22.963504","-43.175685"
R. Minist Viveiros de Castro x R. Duvivier,"-22.964314","-43.17782"
R. Barata Ribeiro x Av. Princesa Isabel,"-22.961449","-43.174745"
R. Barata Ribeiro x Av. Princesa Isabel,"-22.961417","-43.174766"
R. Barata Ribeiro x R. Belfort Roxo,"-22.96273512","-43.17689532"
R. Barata Ribeiro x R. Duvivier,"-22.9636692","-43.17863432"
R. Barata Ribeiro x R. Rodolfo Dantas,"-22.96472029","-43.17973092"
Ladeira do Leme x Pç. Card Arcoverde,"-22.964252","-43.17985"
R. Barata Ribeiro x Trav. Ped.,"-22.96489656","-43.17999814"
R. Barata Ribeiro x R. Gal Azevedo Pimentel,"-22.96524432","-43.18061429"
R. Barata Ribeiro x R. Mal. Mascarenhas Morais,"-22.96569477","-43.18151442"
R. Barata Ribeiro x R. Republica do Peru,"-22.96621906","-43.18229151"
R. Barata Ribeiro x R. Paula Freitas,"-22.96694971","-43.18339038"
R. Barata Ribeiro x R. Hilario de Gouveia,"-22.96749897","-43.1843916"
R. Barata Ribeiro x R. Siqueira Campos,"-22.96806551","-43.18513381"
R. Barata Ribeiro x R. Figueiredo de Magalhaes,"-22.96872994","-43.18640484"
R. Tonelero x R. Gal Azevedo Pimentel,"-22.964004","-43.180435"
R. Tonelero x R. Mal. Mascarenhas Morais,"-22.96466","-43.18187"
R. Tonelero x R. Republica do Peru,"-22.964792","-43.181985"
R. Tonelero x R. Siqueira Campos,"-22.96648","-43.185623"
R. Siqueira Campos x Trav. Ped.,"-22.965949","-43.186635"
R. Tonelero x R. Figueiredo de Magalhaes,"-22.967532","-43.187541"
R. Figueiredo de Magalhaes x R. Capitão Alvares da Silva,"-22.966992","-43.1882"
R. Figueiredo de Magalhaes x Trav. Ped.,"-22.965977","-43.188831"
R. Figueiredo de Magalhaes x R. Minist Alfredo Valadao,"-22.965715","-43.188835"
Av. nº S. de Copacabana x R. Ronald de Carvalho,"-22.964895","-43.176796"
R. Barata Ribeiro x Trav. Ped.,"-22.96367615","-43.17770761"
R. Siqueira Campos x Trav. Ped.,"-22.964969","-43.188408"
R. Siqueira Campos x Trav. Ped.,"-22.964005","-43.190196"
Av. Atlantica x R. Santa Clara,"-22.972332","-43.185476"
Av. Atlantica x R. Constante Ramos,"-22.974184","-43.186858"
Av. Atlantica x R. Bolivar,"-22.975454","-43.187618"
Av. Atlantica x R. Bolivar,"-22.975454","-43.187618"
Av. Atlantica x R. Miguel Lemos,"-22.977704","-43.188656"
Av. Atlantica x R. Francisco Sa,"-22.982015","-43.189603"
Av. nº S. de Copacabana x R. Joaquim Nabuco,"-22.98574428","-43.1899897"
Av. nº S. de Copacabana x Av. Rainha Elisabeth,"-22.98482479","-43.19026236"
Av. nº S. de Copacabana x R. Julio de Castilhos,"-22.98427493","-43.19047786"
Av. nº S. de Copacabana x R. Francisco Sa,"-22.98316366","-43.19082211"
Av. nº S. de Copacabana x R. Souza Lima,"-22.98211433","-43.191207"
Av. nº S. de Copacabana x R. Sa Ferreira,"-22.98079569","-43.19096108"
Av. nº S. de Copacabana x R. Djalma Ulrich,"-22.97926029","-43.19087902"
Av. nº S. de Copacabana x R. Miguel Lemos,"-22.97855462","-43.19075304"
Av. nº S. de Copacabana x R. Xavier da Silveira,"-22.97676357","-43.19035104"
Av. nº S. de Copacabana x R. Bolivar,"-22.97621917","-43.19024082"
Av. nº S. de Copacabana x R. Barão de Ipanema,"-22.97464","-43.18929"
Av. nº S. de Copacabana x R. Constante Ramos,"-22.973584","-43.188651"
Av. nº S. de Copacabana x Trav. Ped.,"-22.97305","-43.188223"
Av. nº S. de Copacabana x R. Santa Clara,"-22.971339","-43.18702"
R. Barata Ribeiro x R. Santa Clara,"-22.96980802","-43.18794183"
R. Barata Ribeiro x R. Constante Ramos,"-22.97278225","-43.19074726"
R. Barata Ribeiro x R. Barão de Ipanema,"-22.97401909","-43.19166793"
R. Barata Ribeiro x R. Bolivar,"-22.97561509","-43.19237536"
R. Barata Ribeiro x R. Xavier da Silveira,"-22.976435","-43.19250771"
R. Barata Ribeiro x R. Miguel Lemos,"-22.97744611","-43.1928429"
R. Barata Ribeiro x R. Djalma Ulrich,"-22.97791366","-43.19278951"
R. Raul Pompeia x R. Souza Lima,"-22.98204887","-43.19221359"
R. Raul Pompeia x R. Francisco Sa,"-22.98255371","-43.19206531"
R. Raul Pompeia x R. Julio de Castilhos,"-22.98369273","-43.19167572"
R. Raul Pompeia x Av. Rainha Elisabeth,"-22.98455925","-43.19141387"
R. Raul Pompeia x R. Joaquim Nabuco,"-22.98600613","-43.19117851"
R. Raul Pompeia x R. Francisco Otaviano,"-22.98694599","-43.19081867"
R. Tonelero x R. Santa Clara,"-22.968535","-43.189021"
R. Pompeu Loureiro x R. Constante Ramos,"-22.971864","-43.19157"
R. Pompeu Loureiro x R. Barão de Ipanema,"-22.973432","-43.192376"
R. Pompeu Loureiro x R. Bolivar,"-22.975044","-43.193099"
R. Pompeu Loureiro x R. Miguel Lemos,"-22.97628","-43.193938"
R. Pompeu Loureiro x R. Miguel Lemos,"-22.97628","-43.193938"
Av. nº S. de Copacabana x Trav. Ped.,"-22.98613588","-43.18966616"
R. Barata Ribeiro x R. Raimundo Correa,"-22.97139882","-43.18946751"
R. Santa Clara x R. Henrique Oswald,"-22.964155","-43.192471"
R. Bulhoes Carvalho x R. Joaquim Nabuco,"-22.9856","-43.19198"
R. Bulhoes Carvalho x Av. Rainha Elisabeth,"-22.985189","-43.192648"
R. Bulhoes Carvalho x R. Francisco Sa,"-22.983337","-43.193611"
R. Francisco Otaviano x Trav. Ped.,"-22.986774","-43.191715"
Av. Vieira Souto x R. Teixeira de Melo,"-22.986319","-43.198691"
Av. Vieira Souto x R. Teixeira de Melo,"-22.986319","-43.198691"
Av. Vieira Souto x R. Vinicius de Moraes,"-22.986209","-43.200321"
Av. Vieira Souto x R. Vinicius de Moraes,"-22.986095","-43.202371"
Av. Vieira Souto x R. Joana Angelica,"-22.985965","-43.204553"
Av. Vieira Souto x R. Joana Angelica,"-22.985965","-43.204553"
Av. Vieira Souto x R. Maria Quiteria,"-22.985879","-43.206598"
Av. Vieira Souto x R. Garcia D Avila,"-22.985767","-43.208799"
R. Prudente de Morais x Av. Henrique Dumont,"-22.98439","-43.213068"
R. Prudente de Morais x R. Anibal de Mendonca,"-22.98454","-43.210838"
R. Prudente de Morais x R. Garcia D Avila,"-22.984667","-43.208674"
R. Prudente de Morais x R. Maria Quiteria,"-22.984764","-43.206664"
R. Prudente de Morais x R. Joana Angelica,"-22.984907","-43.204478"
R. Prudente de Morais x R. Vinicius de Moraes,"-22.984989","-43.202308"
R. Prudente de Morais x R. Farme de Amoedo,"-22.985087","-43.200138"
R. Prudente de Morais x R. Teixeira de Melo,"-22.985247","-43.198446"
R. Visc de Pirajá x R. Jangadeiros,"-22.984124","-43.196486"
R. Visc de Pirajá x R. Teixeira de Melo,"-22.9841","-43.198266"
R. Visc de Pirajá x R. Farme de Amoedo,"-22.983942","-43.200341"
R. Visc de Pirajá x R. Vinicius de Moraes,"-22.983815","-43.202496"
R. Visc de Pirajá x R. Joana Angelica,"-22.983755","-43.204793"
R. Visc de Pirajá x R. Maria Quiteria,"-22.983512","-43.206739"
R. Visc de Pirajá x R. Garcia D Avila,"-22.983594","-43.208714"
R. Visc de Pirajá x R. Anibal de Mendonca,"-22.98333","-43.210744"
R. Visc de Pirajá x Av. Henrique Dumont,"-22.983357","-43.212983"
R. Barão da Torre x R. Anibal de Mendonca,"-22.983387","-43.211738"
R. Barão da Torre x R. Garcia D Avila,"-22.982594","-43.208728"
R. Barão da Torre x R. Maria Quiteria,"-22.98247","-43.206393"
R. Barão da Torre x R. Joana Angelica,"-22.982824","-43.204506"
R. Barão da Torre x R. Vinicius de Moraes,"-22.982899","-43.202558"
R. Barão da Torre x R. Farme de Amoedo,"-22.982989","-43.200403"
R. Nascimento Silva x R. Joana Angelica,"-22.981604","-43.204453"
R. Alberto de Campos x R. Vinicius de Moraes,"-22.980715","-43.202303"
R. Alberto de Campos x R. Joana Angelica,"-22.98052","-43.204336"
R. Joana Angelica x R. Barão de Jaguaripe,"-22.981132","-43.204513"
Av. Epitacio Pessoa x R. Maria Quiteria,"-22.980344","-43.206668"
Av. Epitacio Pessoa x R. Maria Quiteria,"-22.980344","-43.206668"
Av. Epitacio Pessoa x R. Garcia D Avila,"-22.980287","-43.208799"
Av. Epitacio Pessoa x R. Garcia D Avila,"-22.980289","-43.208799"
Av. Epitacio Pessoa x R. Anibal de Mendonca,"-22.98016","-43.210989"
Av. Epitacio Pessoa x Trav. Ped.,"-22.978759","-43.200414"
Av. Epitacio Pessoa x,"-22.978759","-43.200414"
Av. Epitacio Pessoa x R. Vinicius de Moraes,"-22.979197","-43.202274"
Av. Epitacio Pessoa x Trav. Ped.,"-22.979197","-43.202274"
R. Banda de Ipanema x Av. Rainha Elisabeth,"-22.986024","-43.195891"
R. Banda de Ipanema x R. Gomes Carneiro,"-22.98623177","-43.19653655"
R. Garcia D Avila x R. Nascimento Silva,"-22.981489","-43.208559"
Av. Vieira Souto x Trav. Ped.,"-22.986319","-43.198691"
Av. Vieira Souto x R. Farme de Amoedo,"-22.986209","-43.200321"
